industry_code,industry_name,uqer_indic_id,uqer_name,name_en,frequency,unit,stat_type,region,country,source,api,begin_date,end_date,is_update,memo_cn,user_approval,user_notes
801010,农林牧渔,2010001041,食用农产品价格指数:周环比,Price Index of Edible Farm Products(WoW),周,%,当期环比,,中国,商务部,getEcoDataIndAgricultural,2016-10-07,2026-07-31,1,选择八大类食用农产品:粮食、食用油、肉类、禽类、蛋类、蔬菜、水产品、水果。价格数据以商务部生活必需品市场监测系统所监测数据为准、系统现有商务部监测样本企业360家、包括农副产品批发市场和大型超市、覆盖全国36个大中城市。,,
801010,农林牧渔,1040001666,农产品生产价格指数:农业产品:粮食:谷物:玉米(上年同期=100),Indices of Producers' Prices for Farm Products: Planting Products: Food: Cereals: Corn (CPPY=100),季,上年同期=100,当期值,全国,中国,国家统计局,getEcoDataChina,2003-03-31,2026-06-30,1,,,
801010,农林牧渔,1040001668,农产品生产价格指数:农业产品:粮食:豆类:大豆(上年同期=100),Indices of Producers' Prices for Farm Products: Planting Products: Food: Beans: Soy (CPPY=100),季,上年同期=100,当期值,全国,中国,国家统计局,getEcoDataChina,2003-03-31,2026-06-30,1,,,
801010,农林牧渔,2010101472,全国:生猪存栏:环比,National: Live Pigs: MoM,月,%,当期环比,,中国,中国农业农村部,getEcoDataIndAgricultural,2009-01-31,2026-06-30,1,监测范围:4000个监测点的生猪存栏信息、按照《缓解生猪市场价格周期性波动预案》要求、农业部从2012年4月起按月发布动态监测点生猪存栏量、能繁母猪存栏量变化率数据。,,
801010,农林牧渔,2010001043,食用农产品价格指数:粮食类:小包装面粉:周环比,Edible Farm Product Price Index(WoW): Cereal: Flour(Small Package),周,%,当期环比,,中国,商务部,getEcoDataIndAgricultural,2013-12-20,2026-07-31,1,,,
801010,农林牧渔,2010001044,食用农产品价格指数:粮食类:小包装大米:周环比,Edible Farm Product Price Index(WoW): Cereal: Rice(Small Package),周,%,当期环比,,中国,商务部,getEcoDataIndAgricultural,2013-12-20,2026-07-31,1,,,
801010,农林牧渔,2010001050,食用农产品价格指数:肉类:猪肉:周环比,Edible Farm Product Price Index(WoW): Meat: Pork,周,%,当期环比,,中国,商务部,getEcoDataIndAgricultural,2004-01-09,2026-07-31,1,,,
801010,农林牧渔,2010001054,食用农产品价格指数:蛋类:鸡蛋:周环比,Edible Farm Product Price Index(WoW): Eggs,周,%,当期环比,,中国,商务部,getEcoDataIndAgricultural,2007-08-03,2026-07-31,1,,,
801010,农林牧渔,2010730823,北京市农产品批发环比价格指数:涨跌幅:鸡蛋,Beijing Agricultural Products Wholesale MoM Price Index: Change: Eggs,周,%,当期环比,北京市,中国,发改委,getEcoDataIndAgricultural,2016-06-03,2026-07-31,1,,,
801010,农林牧渔,2010730825,北京市农产品批发环比价格指数:涨跌幅:猪肉,Beijing Agricultural Products Wholesale MoM Price Index: Change: Pork,周,%,当期环比,北京市,中国,发改委,getEcoDataIndAgricultural,2016-06-17,2026-07-31,1,,,
801010,农林牧渔,2010730827,北京市农产品批发环比价格指数:涨跌幅:水产品,Beijing Agricultural Products Wholesale MoM Price Index: Change: Aquatic Products,周,%,当期环比,北京市,中国,发改委,getEcoDataIndAgricultural,2016-06-03,2026-07-31,1,,,
801010,农林牧渔,2010730828,北京市农产品批发环比价格指数:涨跌幅:粮食,Beijing Agricultural Products Wholesale MoM Price Index: Change: Grain,周,%,当期环比,北京市,中国,发改委,getEcoDataIndAgricultural,2016-06-03,2026-07-31,1,,,
801010,农林牧渔,2010730832,北京市农产品批发同比价格指数:涨跌幅:鸡蛋,Beijing Agricultural Products Wholesale YoY Price Index: Change: Eggs,周,%,当期同比,北京市,中国,发改委,getEcoDataIndAgricultural,2016-06-03,2026-07-31,1,,,
801010,农林牧渔,2010730836,北京市农产品批发同比价格指数:涨跌幅:水产品,Beijing Agricultural Products Wholesale YoY Price Index: Change: Aquatic Products,周,%,当期同比,北京市,中国,发改委,getEcoDataIndAgricultural,2016-06-03,2026-07-31,1,,,
801010,农林牧渔,2010730837,北京市农产品批发同比价格指数:涨跌幅:粮食,Beijing Agricultural Products Wholesale YoY Price Index: Change: Grain,周,%,当期同比,北京市,中国,发改委,getEcoDataIndAgricultural,2016-06-03,2026-07-31,1,,,
801010,农林牧渔,2010731001,北京市农产品批发同比价格指数:涨跌幅:猪肉,Beijing Agricultural Products Wholesale YoY Price Index: Change: Pork,周,%,当期同比,北京市,中国,发改委,getEcoDataIndAgricultural,2016-06-03,2026-07-31,1,,,
801010,农林牧渔,2010001225,农产品集贸市场价格指数:玉米:当月同比,Price Index of Farm Products Market: Corn,月,上年同月=100,当期同比,,中国,商务部,getEcoDataIndAgricultural,2002-09-30,2026-06-30,1,更新规律:每月25日左右更新上月数据,,
801010,农林牧渔,2010001226,农产品集贸市场价格指数:大豆:当月同比,Price Index of Farm Products Market: Soybean,月,上年同月=100,当期同比,,中国,商务部,getEcoDataIndAgricultural,2002-09-30,2026-06-30,1,更新规律:每月25日左右更新上月数据,,
801010,农林牧渔,2010001230,农产品集贸市场价格指数:棉花(籽棉):当月同比,Price Index of Farm Products Market: Cotton(Seed),月,上年同月=100,当期同比,,中国,商务部,getEcoDataIndAgricultural,2003-01-31,2026-06-30,1,更新规律:每月25日左右更新上月数据,,
801010,农林牧渔,2010001237,农产品集贸市场价格指数:仔猪:当月同比,Price Index of Farm Products Market: Piglets,月,上年同月=100,当期同比,,中国,商务部,getEcoDataIndAgricultural,2002-09-30,2026-06-30,1,更新规律:每月25日左右更新上月数据,,
801010,农林牧渔,2010001238,农产品集贸市场价格指数:猪肉:当月同比,Price Index of Farm Products Market: Pork,月,上年同月=100,当期同比,,中国,商务部,getEcoDataIndAgricultural,2002-09-30,2026-06-30,1,更新规律:每月25日左右更新上月数据,,
801010,农林牧渔,2010001241,农产品集贸市场价格指数:鸡蛋:当月同比,Price Index of Farm Products Market: Egg,月,上年同月=100,当期同比,,中国,商务部,getEcoDataIndAgricultural,2002-09-30,2026-06-30,1,更新规律:每月25日左右更新上月数据,,
801010,农林牧渔,2010001245,农产品集贸市场价格指数:玉米:累计值,Price Index of Farm Products Market: Corn: YTD,月,上年同期=100,累计值,,中国,商务部,getEcoDataIndAgricultural,2002-09-30,2026-06-30,1,更新规律:每月25日左右更新上月数据,,
801010,农林牧渔,2010001246,农产品集贸市场价格指数:大豆:累计值,Price Index of Farm Products Market: Soybean: YTD,月,上年同期=100,累计值,,中国,商务部,getEcoDataIndAgricultural,2002-09-30,2026-06-30,1,更新规律:每月25日左右更新上月数据,,
801010,农林牧渔,2010001250,农产品集贸市场价格指数:棉花(籽棉):累计值,Price Index of Farm Products Market: Cotton(Seed): YTD,月,上年同期=100,累计值,,中国,商务部,getEcoDataIndAgricultural,2003-02-28,2026-06-30,1,更新规律:每月25日左右更新上月数据,,
801010,农林牧渔,2010001257,农产品集贸市场价格指数:仔猪:累计值,Price Index of Farm Products Market: Piglets: YTD,月,上年同期=100,累计值,,中国,商务部,getEcoDataIndAgricultural,2002-09-30,2026-06-30,1,更新规律:每月25日左右更新上月数据,,
801010,农林牧渔,2010001258,农产品集贸市场价格指数:猪肉:累计值,Price Index of Farm Products Market: Pork: YTD,月,上年同期=100,累计值,,中国,商务部,getEcoDataIndAgricultural,2002-09-30,2026-06-30,1,更新规律:每月25日左右更新上月数据,,
801010,农林牧渔,2010001261,农产品集贸市场价格指数:鸡蛋:累计值,Price Index of Farm Products Market: Eggs: YTD,月,上年同期=100,累计值,,中国,商务部,getEcoDataIndAgricultural,2002-09-30,2026-06-30,1,更新规律:每月25日左右更新上月数据,,
801010,农林牧渔,2010001265,农产品集贸市场价格指数:玉米:当月值,Price Index of Farm Products Market: Corn,月,上月=100,当期值,,中国,商务部,getEcoDataIndAgricultural,2002-09-30,2026-06-30,1,更新规律:每月25日左右更新上月数据,,
801010,农林牧渔,2010001266,农产品集贸市场价格指数:大豆:当月值,Price Index of Farm Products Market: Soybean,月,上月=100,当期值,,中国,商务部,getEcoDataIndAgricultural,2002-09-30,2026-06-30,1,更新规律:每月25日左右更新上月数据,,
801030,基础化工,3090000795,印度:WPI:工业制品:化工产品:初级合成塑料及橡胶:聚丙烯(PP),India: WPI: Chemicals and Chemical Products: Plastic and Synthetic Rubber In Primary Form: Poly Propylene (Pp),月,2011年4月-2012年3月=100,当期值,印度,印度,印度商工部,getEcoDataGlobeRest,2012-04-30,2026-04-30,1,,,
801030,基础化工,3090000796,印度:WPI:工业制品:化工产品:初级合成塑料及橡胶:聚氯乙烯(PVC),India: WPI: Chemicals and Chemical Products: Plastic and Synthetic Rubber In Primary Form: Poly Vinyl Chloride (Pvc),月,2011年4月-2012年3月=100,当期值,印度,印度,印度商工部,getEcoDataGlobeRest,2012-04-30,2026-04-30,1,,,
801030,基础化工,3090000797,印度:WPI:工业制品:化工产品:初级合成塑料及橡胶:聚乙烯,India: WPI: Chemicals and Chemical Products: Plastic and Synthetic Rubber In Primary Form: Polyethylene,月,2011年4月-2012年3月=100,当期值,印度,印度,印度商工部,getEcoDataGlobeRest,2012-04-30,2026-04-30,1,,,
801030,基础化工,3090000800,印度:WPI:工业制品:化工产品:初级合成塑料及橡胶:交联聚乙烯,India: WPI: Chemicals and Chemical Products: Plastic and Synthetic Rubber In Primary Form: Xlpe Compound,月,2011年4月-2012年3月=100,当期值,印度,印度,印度商工部,getEcoDataGlobeRest,2012-04-30,2026-04-30,1,,,
801030,基础化工,1040015380,生产资料价格:化肥:尿素:周环比,Spot Price: Chemical Fertilizer: Urea: WoW,周,%,当期环比,全国,中国,商务部,getEcoDataChina,2017-03-19,2026-08-02,1,,,
